"State","legalizationDate"
"Alabama","2014-10-12"
"Alaska","2014-10-17"
"Arizona",""
"Arkansas","2008-05-15"
"California",""
"Colorado","2008-10-10"
"Connecticut","2013-05-07"
"Delaware","2014-08-21"
"Florida",""
"Georgia","2013-11-13"
"Hawaii","2014-10-07"
"Idaho","2013-11-20"
"Illinois","2014-09-04"
"Indiana","2009-04-03"
"Iowa","2014-11-12"
"Kansas",""
"Kentucky",""
"Louisiana","2012-11-06"
"Maine","2012-11-06"
"Maryland","2003-11-18"
"Massachusetts",""
"Michigan","2013-05-14"
"Minnesota",""
"Mississippi",""
"Missouri","2014-11-19"
"Montana",""
"Nebraska","2014-10-08"
"Nevada","2009-06-03"
"New Hampshire","2013-09-27"
"New Jersey","2013-12-19"
"New Mexico","2011-06-24"
"New York","2014-10-10"
"North Carolina",""
"North Dakota",""
"Ohio","2014-07-18"
"Oklahoma","2014-05-19"
"Oregon","2014-05-20"
"Pennsylvania","2013-05-02"
"Rhode Island","2014-11-12"
"South Carolina",""
"South Dakota",""
"Tennessee",""
"Texas","2014-06-25"
"Utah","2009-04-07"
"Vermont","2014-07-28"
"Virginia","2012-12-06"
"Washington","2014-10-09"
"West Virginia","2014-09-04"
"Wisconsin","2014-10-17"
"Wyoming",""